City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,omdurman,15.6445,32.4777,306.96,24,48,3.41,SD,1699818720
223,utrik,11.2278,169.8474,301.21,80,100,8.22,MH,1699818720
224,uturoa,-16.7333,-151.4333,300.46,80,11,4.0,PF,1699818720
225,choyr,46.3611,108.3611,259.57,77,2,0.38,MN,1699818721
226,kapa'a,22.0752,-159.319,301.14,81,40,9.77,US,1699818721
227,sarupathar,26.1984,93.8094,291.28,91,0,0.48,IN,1699818474
228,ust-nera,64.5667,143.2,248.68,99,100,1.02,RU,1699818635
229,sao tome,0.3365,6.7273,299.76,86,49,3.27,ST,1699818721
230,huanren,41.2647,125.3667,266.22,64,2,1.49,CN,1699818722
231,chabahar,25.2919,60.643,299.07,54,100,4.99,IR,1699818722
232,franceville,-1.6333,13.5836,295.54,92,89,1.39,GA,1699818722
233,pskov,57.8136,28.3496,275.1,100,100,3.13,RU,1699818722
234,mulanje,-16.0316,35.5,297.5,67,9,2.03,MW,1699818723
235,coari,-4.085,-63.1414,306.64,48,100,0.85,BR,1699818723
236,ancud,-41.8697,-73.8203,282.93,52,40,4.83,CL,1699818723
237,kununurra,-15.7667,128.7333,300.14,89,100,2.06,AU,1699818723
238,robat karim,35.4846,51.0829,289.07,44,20,1.54,IR,1699818724
239,montepuez,-13.1256,38.9997,297.87,70,85,3.52,MZ,1699818724
240,poplar bluff,36.757,-90.3929,291.11,37,0,1.54,US,1699818725
241,vozhega,60.4725,40.2213,273.93,96,100,5.35,RU,1699818725
242,novodvinsk,64.4165,40.8122,269.7,93,21,3.14,RU,1699818726
243,hermanus,-34.4187,19.2345,288.65,78,0,3.64,ZA,1699818590
244,papao,-17.75,-149.55,301.97,78,41,1.1,PF,1699818390
245,pocahontas,36.2615,-90.9712,290.29,47,0,2.06,US,1699818704
246,invercargill,-46.4,168.35,284.27,96,100,1.34,NZ,1699818285
247,lompoc,34.6391,-120.4579,302.42,14,0,2.06,US,1699818727
248,bakanas,44.8081,76.2772,278.75,60,62,2.99,KZ,1699818727
249,lebu,-37.6167,-73.65,284.31,57,3,8.29,CL,1699818510
250,xinyuan,37.3,99.0,265.27,33,0,2.89,CN,1699818727
251,georgetown,5.4112,100.3354,300.94,92,20,1.54,MY,1699818152
252,thinadhoo,0.5333,72.9333,300.56,76,92,1.44,MV,1699818728
253,jeddah,21.5169,39.2192,303.07,62,0,1.54,SA,1699818728
254,yulinshi,38.2906,109.7494,272.03,35,100,1.26,CN,1699818729
255,inarajan village,13.2736,144.7484,301.69,90,43,7.74,GU,1699818639
256,onega,63.9061,38.1404,269.74,85,26,5.52,RU,1699818730
257,magistral'nyy,56.1725,107.4458,262.24,91,96,0.86,RU,1699818730
258,taulaga,-11.0553,-171.0883,301.49,76,38,3.02,AS,1699818730
259,acapulco de juarez,16.8634,-99.8901,305.05,62,0,4.63,MX,1699818308
